id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Rapid Voyage 1,Neon Stereo,pop,happy,0.78,114,0.83,0.84,0.14
2,Cosmic Signal 2,Neon Quill,indie pop,romantic,0.69,108,0.77,0.75,0.27
3,Electric Tide 3,Silver Pulse,lofi,focused,0.36,72,0.59,0.58,0.82
4,Midnight Letters 4,Silver Circuit,ambient,chill,0.27,58,0.64,0.41,0.92
5,Northern Voyage 5,Silver Orchid,rock,moody,0.89,144,0.57,0.65,0.12
6,Hollow Signal 6,Golden Parade,metal,angry,0.96,166,0.32,0.53,0.07
7,Golden Tide 7,Golden Collective,classical,peaceful,0.26,68,0.55,0.19,0.98
8,Velvet Letters 8,Golden Harbor,jazz,moody,0.49,100,0.73,0.54,0.80
9,Urban Voyage 9,Blue District,folk,romantic,0.47,98,0.67,0.47,0.92
10,Lunar Signal 10,Blue Ensemble,synthwave,focused,0.80,120,0.49,0.74,0.15
11,Morning Tide 11,Blue Atlas,electropop,happy,0.80,138,0.86,0.91,0.10
12,Southern Letters 12,Midnight Bloom,hip hop,confident,0.70,116,0.66,0.86,0.19
13,Bright Voyage 13,Midnight Signal,r&b,romantic,0.56,86,0.74,0.75,0.40
14,Silent Signal 14,Midnight Wire,country,happy,0.51,98,0.76,0.52,0.71
15,Paper Tide 15,Crimson Transit,reggaeton,euphoric,0.86,88,0.83,0.90,0.10
16,Crimson Letters 16,Crimson Frame,pop,playful,0.82,118,0.89,0.85,0.19
17,Sapphire Voyage 17,Crimson Cloud,indie pop,nostalgic,0.73,112,0.83,0.76,0.32
18,Afterglow Signal 18,Velvet Avenue,lofi,chill,0.40,76,0.56,0.59,0.87
19,Echoing Tide 19,Velvet Lanterns,ambient,peaceful,0.31,62,0.61,0.42,0.97
20,Neon Letters 20,Electric Echo,rock,confident,0.93,148,0.54,0.66,0.07
21,Rapid Voyage 21,Electric Stereo,metal,intense,0.99,170,0.29,0.47,0.02
22,Cosmic Signal 22,Electric Quill,classical,focused,0.19,72,0.52,0.20,0.94
23,Electric Tide 23,Urban Pulse,jazz,romantic,0.42,104,0.70,0.55,0.75
24,Midnight Letters 24,Urban Circuit,folk,peaceful,0.40,102,0.73,0.48,0.87
25,Northern Voyage 25,Urban Orchid,synthwave,moody,0.73,124,0.55,0.75,0.20
26,Hollow Signal 26,Lunar Parade,electropop,euphoric,0.84,116,0.92,0.92,0.15
27,Golden Tide 27,Lunar Collective,hip hop,focused,0.74,94,0.63,0.87,0.24
28,Velvet Letters 28,Lunar Harbor,r&b,happy,0.60,90,0.71,0.69,0.45
29,Urban Voyage 29,Solar District,country,peaceful,0.55,102,0.73,0.53,0.76
30,Lunar Signal 30,Solar Ensemble,reggaeton,playful,0.90,92,0.80,0.91,0.05
31,Morning Tide 31,Solar Atlas,pop,happy,0.86,122,0.86,0.86,0.14
32,Southern Letters 32,North Bloom,indie pop,romantic,0.77,116,0.80,0.77,0.27
33,Bright Voyage 33,North Signal,lofi,focused,0.33,80,0.62,0.60,0.82
34,Silent Signal 34,North Wire,ambient,chill,0.24,66,0.67,0.43,0.92
35,Paper Tide 35,South Transit,rock,moody,0.86,152,0.60,0.60,0.12
36,Crimson Letters 36,South Frame,metal,angry,0.93,174,0.26,0.48,0.07
37,Sapphire Voyage 37,South Cloud,classical,peaceful,0.23,76,0.49,0.21,0.98
38,Afterglow Signal 38,East Avenue,jazz,moody,0.46,108,0.67,0.56,0.80
39,Echoing Tide 39,East Lanterns,folk,romantic,0.44,80,0.70,0.49,0.92
40,Neon Letters 40,West Echo,synthwave,focused,0.77,102,0.52,0.76,0.15
41,Rapid Voyage 41,West Stereo,electropop,happy,0.88,120,0.89,0.93,0.10
42,Cosmic Signal 42,West Quill,hip hop,confident,0.78,98,0.69,0.81,0.19
43,Electric Tide 43,Paper Pulse,r&b,romantic,0.64,94,0.77,0.70,0.40
44,Midnight Letters 44,Paper Circuit,country,happy,0.48,106,0.79,0.54,0.71
45,Northern Voyage 45,Paper Orchid,reggaeton,euphoric,0.83,96,0.77,0.92,0.10
46,Hollow Signal 46,Glass Parade,pop,playful,0.79,126,0.83,0.87,0.19
47,Golden Tide 47,Glass Collective,indie pop,nostalgic,0.70,120,0.77,0.78,0.32
48,Velvet Letters 48,Glass Harbor,lofi,chill,0.37,84,0.59,0.61,0.87
49,Urban Voyage 49,Quiet District,ambient,peaceful,0.28,70,0.64,0.37,0.97
50,Lunar Signal 50,Quiet Ensemble,rock,confident,0.90,156,0.57,0.61,0.07
51,Morning Tide 51,Quiet Atlas,metal,intense,0.97,178,0.32,0.49,0.02
52,Southern Letters 52,Rapid Bloom,classical,focused,0.27,54,0.55,0.22,0.94
53,Bright Voyage 53,Rapid Signal,jazz,romantic,0.50,86,0.73,0.57,0.75
54,Silent Signal 54,Rapid Wire,folk,peaceful,0.48,84,0.67,0.50,0.87
55,Paper Tide 55,Delta Transit,synthwave,moody,0.70,106,0.49,0.77,0.20
56,Crimson Letters 56,Delta Frame,electropop,euphoric,0.81,124,0.86,0.87,0.15
57,Sapphire Voyage 57,Delta Cloud,hip hop,focused,0.71,102,0.66,0.82,0.24
58,Afterglow Signal 58,Neon Avenue,r&b,happy,0.57,98,0.74,0.71,0.45
59,Echoing Tide 59,Neon Lanterns,country,peaceful,0.52,110,0.76,0.55,0.76
60,Neon Letters 60,Silver Echo,reggaeton,playful,0.87,100,0.83,0.93,0.05
61,Rapid Voyage 61,Silver Stereo,pop,happy,0.83,130,0.89,0.88,0.14
62,Cosmic Signal 62,Silver Quill,indie pop,romantic,0.74,124,0.83,0.79,0.27
63,Electric Tide 63,Golden Pulse,lofi,focused,0.41,88,0.56,0.55,0.82
64,Midnight Letters 64,Golden Circuit,ambient,chill,0.32,74,0.61,0.38,0.92
65,Northern Voyage 65,Golden Orchid,rock,moody,0.94,134,0.54,0.62,0.12
66,Hollow Signal 66,Blue Parade,metal,angry,0.90,156,0.29,0.50,0.07
67,Golden Tide 67,Blue Collective,classical,peaceful,0.20,58,0.52,0.23,0.98
68,Velvet Letters 68,Blue Harbor,jazz,moody,0.43,90,0.70,0.58,0.80
69,Urban Voyage 69,Midnight District,folk,romantic,0.41,88,0.73,0.51,0.92
70,Lunar Signal 70,Midnight Ensemble,synthwave,focused,0.74,110,0.55,0.71,0.15
